id,label,type
RAB27A,RAB27A,Messenger RNA
ORAI3,ORAI3,Messenger RNA
ZBTB4,ZBTB4,Messenger RNA
ATXN1,ATXN1,Messenger RNA
ZNFX1,ZNFX1,Messenger RNA
ERBB3,ERBB3,Messenger RNA
CCND2,CCND2,Messenger RNA
RTN4,RTN4,Messenger RNA
SMIM14,SMIM14,Messenger RNA
NREP,NREP,Messenger RNA
SERTAD3,SERTAD3,Messenger RNA
LRRC8C,LRRC8C,Messenger RNA
RXRG,RXRG,Messenger RNA
COPS7B,COPS7B,Messenger RNA
KLF3,KLF3,Messenger RNA
PLXNA4,PLXNA4,Messenger RNA
KIF19,KIF19,Messenger RNA
FCMR,FCMR,Messenger RNA
RASGRF2,RASGRF2,Messenger RNA
TOM1L2,TOM1L2,Messenger RNA
ARL4C,ARL4C,Messenger RNA
PPM1F,PPM1F,Messenger RNA
MSN,MSN,Messenger RNA
DCBLD1,DCBLD1,Messenger RNA
MMP2,MMP2,Messenger RNA
SFXN5,SFXN5,Messenger RNA
IKZF1,IKZF1,Messenger RNA
FYCO1,FYCO1,Messenger RNA
TRIM8,TRIM8,Messenger RNA
SEMA4A,SEMA4A,Messenger RNA
TOMM40,TOMM40,Messenger RNA
RND3,RND3,Messenger RNA
CHRDL1,CHRDL1,Messenger RNA
AXL,AXL,Messenger RNA
TACC1,TACC1,Messenger RNA
SYTL4,SYTL4,Messenger RNA
FBXO46,FBXO46,Messenger RNA
SLC5A6,SLC5A6,Messenger RNA
PDE7B,PDE7B,Messenger RNA
KIF18B,KIF18B,Messenger RNA
HEG1,HEG1,Messenger RNA
FAM104A,FAM104A,Messenger RNA
WIPF1,WIPF1,Messenger RNA
KLF2,KLF2,Messenger RNA
ICOS,ICOS,Messenger RNA
GNAS,GNAS,Messenger RNA
ADAM19,ADAM19,Messenger RNA
HAS2,HAS2,Messenger RNA
CAMK2B,CAMK2B,Messenger RNA
TMEM134,TMEM134,Messenger RNA
YPEL5,YPEL5,Messenger RNA
ABHD5,ABHD5,Messenger RNA
TP53INP2,TP53INP2,Messenger RNA
ESR1,ESR1,Messenger RNA
MAF,MAF,Messenger RNA
PAPLN,PAPLN,Messenger RNA
FOXO1,FOXO1,Messenger RNA
KIAA0513,KIAA0513,Messenger RNA
ZNF597,ZNF597,Messenger RNA
IFFO2,IFFO2,Messenger RNA
DPY19L3,DPY19L3,Messenger RNA
KMT5C,KMT5C,Messenger RNA
BNC2,BNC2,Messenger RNA
EIF2S2,EIF2S2,Messenger RNA
ABCB7,ABCB7,Messenger RNA
ZKSCAN1,ZKSCAN1,Messenger RNA
ZFPM2,ZFPM2,Messenger RNA
CERT1,CERT1,Messenger RNA
MIDN,MIDN,Messenger RNA
ZNF25,ZNF25,Messenger RNA
CREBRF,CREBRF,Messenger RNA
ASTN1,ASTN1,Messenger RNA
C6orf120,C6orf120,Messenger RNA
STK17B,STK17B,Messenger RNA
SBK1,SBK1,Messenger RNA
CYRIB,CYRIB,Messenger RNA
KCND3,KCND3,Messenger RNA
ARHGEF3,ARHGEF3,Messenger RNA
RORB,RORB,Messenger RNA
DIAPH2,DIAPH2,Messenger RNA
FLI1,FLI1,Messenger RNA
TNS3,TNS3,Messenger RNA
TNS1,TNS1,Messenger RNA
MYLK4,MYLK4,Messenger RNA
TRHDE,TRHDE,Messenger RNA
FOSL2,FOSL2,Messenger RNA
ANTXR2,ANTXR2,Messenger RNA
EIF3M,EIF3M,Messenger RNA
PLCXD3,PLCXD3,Messenger RNA
NTN4,NTN4,Messenger RNA
TARDBP,TARDBP,Messenger RNA
ZEB1,ZEB1,Messenger RNA
PAX5,PAX5,Messenger RNA
JADE2,JADE2,Messenger RNA
MARCHF9,MARCHF9,Messenger RNA
PURA,PURA,Messenger RNA
PRDM16,PRDM16,Messenger RNA
CAMK4,CAMK4,Messenger RNA
DAB2,DAB2,Messenger RNA
ANKRD44,ANKRD44,Messenger RNA
RPS6KA2,RPS6KA2,Messenger RNA
RNF122,RNF122,Messenger RNA
ITM2B,ITM2B,Messenger RNA
CELF2,CELF2,Messenger RNA
P2RX1,P2RX1,Messenger RNA
SMARCD1,SMARCD1,Messenger RNA
RXRA,RXRA,Messenger RNA
TLR4,TLR4,Messenger RNA
DIPK1A,DIPK1A,Messenger RNA
HMGA1,HMGA1,Messenger RNA
RAB3IP,RAB3IP,Messenger RNA
ST3GAL5,ST3GAL5,Messenger RNA
ZNF423,ZNF423,Messenger RNA
SCN2B,SCN2B,Messenger RNA
C1orf198,C1orf198,Messenger RNA
TADA2B,TADA2B,Messenger RNA
RGS4,RGS4,Messenger RNA
AGFG2,AGFG2,Messenger RNA
PCNX1,PCNX1,Messenger RNA
BFAR,BFAR,Messenger RNA
CCDC50,CCDC50,Messenger RNA
IGF1R,IGF1R,Messenger RNA
AFF1,AFF1,Messenger RNA
PDGFRA,PDGFRA,Messenger RNA
FSTL1,FSTL1,Messenger RNA
LASP1,LASP1,Messenger RNA
RUNX1T1,RUNX1T1,Messenger RNA
PLEKHM1,PLEKHM1,Messenger RNA
NCEH1,NCEH1,Messenger RNA
GAN,GAN,Messenger RNA
FGF1,FGF1,Messenger RNA
ELFN2,ELFN2,Messenger RNA
KLHL18,KLHL18,Messenger RNA
RORA,RORA,Messenger RNA
MAP2,MAP2,Messenger RNA
TCF4,TCF4,Messenger RNA
MORF4L1,MORF4L1,Messenger RNA
LAMP5,LAMP5,Messenger RNA
NHLRC3,NHLRC3,Messenger RNA
PRRX1,PRRX1,Messenger RNA
ABAT,ABAT,Messenger RNA
SUGT1,SUGT1,Messenger RNA
CXCL14,CXCL14,Messenger RNA
RHOBTB1,RHOBTB1,Messenger RNA
SFXN1,SFXN1,Messenger RNA
PLEKHO2,PLEKHO2,Messenger RNA
EFCAB14,EFCAB14,Messenger RNA
RAP2B,RAP2B,Messenger RNA
DAZAP2,DAZAP2,Messenger RNA
KCTD15,KCTD15,Messenger RNA
PKIA,PKIA,Messenger RNA
ARHGAP24,ARHGAP24,Messenger RNA
ITSN1,ITSN1,Messenger RNA
HIVEP3,HIVEP3,Messenger RNA
NMT1,NMT1,Messenger RNA
CHST1,CHST1,Messenger RNA
SCN1B,SCN1B,Messenger RNA
PRKACB,PRKACB,Messenger RNA
NGFR,NGFR,Messenger RNA
MAP4K4,MAP4K4,Messenger RNA
BACH2,BACH2,Messenger RNA
NFIA,NFIA,Messenger RNA
SALL1,SALL1,Messenger RNA
PRRG1,PRRG1,Messenger RNA
FAM241A,FAM241A,Messenger RNA
NOVA1,NOVA1,Messenger RNA
NEK9,NEK9,Messenger RNA
KSR1,KSR1,Messenger RNA
PHF6,PHF6,Messenger RNA
CD200R1,CD200R1,Messenger RNA
SYNPO2,SYNPO2,Messenger RNA
IGF1,IGF1,Messenger RNA
PLEKHA5,PLEKHA5,Messenger RNA
FOXP1,FOXP1,Messenger RNA
BCL11B,BCL11B,Messenger RNA
ARHGAP19,ARHGAP19,Messenger RNA
ZC3H12C,ZC3H12C,Messenger RNA
PCDHA6,PCDHA6,Messenger RNA
CREBL2,CREBL2,Messenger RNA
NEGR1,NEGR1,Messenger RNA
MEOX1,MEOX1,Messenger RNA
TIA1,TIA1,Messenger RNA
RLIM,RLIM,Messenger RNA
SLC35B4,SLC35B4,Messenger RNA
FGF14,FGF14,Messenger RNA
NRIP1,NRIP1,Messenger RNA
SESN1,SESN1,Messenger RNA
FKBP14,FKBP14,Messenger RNA
PTPRQ,PTPRQ,Messenger RNA
GPX7,GPX7,Messenger RNA
MOSPD1,MOSPD1,Messenger RNA
IL6ST,IL6ST,Messenger RNA
CD86,CD86,Messenger RNA
TNFAIP8,TNFAIP8,Messenger RNA
JAK1,JAK1,Messenger RNA
NEK10,NEK10,Messenger RNA
GDI2,GDI2,Messenger RNA
LMOD1,LMOD1,Messenger RNA
FBXO39,FBXO39,Messenger RNA
SSTR1,SSTR1,Messenger RNA
DCUN1D5,DCUN1D5,Messenger RNA
ACER3,ACER3,Messenger RNA
PDE1B,PDE1B,Messenger RNA
ETS1,ETS1,Messenger RNA
SLC46A3,SLC46A3,Messenger RNA
ARPP19,ARPP19,Messenger RNA
SESN3,SESN3,Messenger RNA
RBL2,RBL2,Messenger RNA
CYBRD1,CYBRD1,Messenger RNA
ZNF385A,ZNF385A,Messenger RNA
PCDH9,PCDH9,Messenger RNA
SLC38A1,SLC38A1,Messenger RNA
HSPA12A,HSPA12A,Messenger RNA
LRCH1,LRCH1,Messenger RNA
SMARCD2,SMARCD2,Messenger RNA
SYT11,SYT11,Messenger RNA
SH3BP5L,SH3BP5L,Messenger RNA
CORO2B,CORO2B,Messenger RNA
SCN8A,SCN8A,Messenger RNA
CDS2,CDS2,Messenger RNA
TMEM50B,TMEM50B,Messenger RNA
FNDC3A,FNDC3A,Messenger RNA
CAMTA2,CAMTA2,Messenger RNA
LIMD1,LIMD1,Messenger RNA
HDAC9,HDAC9,Messenger RNA
PACRGL,PACRGL,Messenger RNA
OPCML,OPCML,Messenger RNA
UNC13B,UNC13B,Messenger RNA
B4GALT5,B4GALT5,Messenger RNA
DNAL4,DNAL4,Messenger RNA
DYNLL2,DYNLL2,Messenger RNA
TGFBR2,TGFBR2,Messenger RNA
DHX36,DHX36,Messenger RNA
KEGG:05202,Transcriptional misregulation in cancer,Pathway
KEGG:05200,Pathways in cancer,Pathway
KEGG:04211,Longevity regulating pathway,Pathway
KEGG:04020,Calcium signaling pathway,Pathway
KEGG:01521,EGFR tyrosine kinase inhibitor resistance,Pathway
KEGG:01522,Endocrine resistance,Pathway
KEGG:04010,MAPK signaling pathway,Pathway
KEGG:04068,FoxO signaling pathway,Pathway
KEGG:05205,Proteoglycans in cancer,Pathway
KEGG:04659,Th17 cell differentiation,Pathway
KEGG:04014,Ras signaling pathway,Pathway
KEGG:04115,p53 signaling pathway,Pathway
KEGG:05214,Glioma,Pathway
